timestamp,content,sentiment
"Aug 30, 2020 @ 16:49:59.164","اهل کوفه چی شدن!؟ :)،
نامه هاشون!؟
مگه علی برای اتحاد مسلمونا سکوت نکرد!؟
اون وقت امام حسین برای چی خواست خلافتو باز پس بگیره؟!

اون همه نامه و امضا چطوووری تو زرد از آب دراومد!؟
یا فروخته شد به وعده، که اینجوری بهتره بگم ارزشی نداشته!
یا واقعی نبوده :)!",unk
"Aug 30, 2020 @ 16:49:59.097","امام زمان (عج)
لأَندُبَنَّک صَباحاً و مَساءً و لأَبکینَّ عَلَیک بَدَلَ الدُّمُوعِ دَماً.هر صبح و شام بر تو گریه و شیون می کنم و در مصیبت تو به جای اشک، خون می گریم.
به فدای گریه های جگرسوزت برای جد مظلومت یا صاحب الزمان😭🖤
#اللهم_عجل_لوليك_الفرج
#الحسین_یجمعنا",unk
"Aug 30, 2020 @ 16:49:59.031","می دانی چرا دم غروب دلت می گیرد...

 غروب بود، 
به اسیری گرفتند دختران حسین را ...
#ما_ملت_امام_حسینیم",unk
"Aug 30, 2020 @ 16:49:58.964","ممنون دوست عزیز،توکل به خدا😊🙏🌺",unk
"Aug 30, 2020 @ 16:49:58.855","در ره عشق که از سیل بلا نیست گذر،کرده ام خاطر خود را به تمنای تو خوش
⁧ [حافظ⁩]",unk
"Aug 30, 2020 @ 16:49:58.788","کمی انطرف تر،عده ای به تازگی حاجی شده اند
#حب_الحسین_یجمعنا 
#ما_ملت_امام_حسینیم",unk
"Aug 30, 2020 @ 16:49:58.721","من که هر روز هستم",unk
"Aug 30, 2020 @ 16:49:58.654","گور باباشون با این سرویس دادنشون",unk
"Aug 30, 2020 @ 16:49:58.560","با این حال ترکا استفاده میکنن مخصوصن دخترا =)))",unk
"Aug 30, 2020 @ 16:49:58.356","داستان این رزم و فدا پیوند شرط و مبناست. فرزندان ملتی برای آزادی این چنین فداکاری می کنند. آنان بهترینها و زیبا ترین ها و عزیزترین ها هستند که زیبایی می آفرینند و فداکاری.🌹🌹",unk
"Aug 30, 2020 @ 16:49:58.288","نمیشه که شلوارت رو بکشی پایین و برای هر کسی عکس بفرستی.",unk
"Aug 30, 2020 @ 16:49:58.222","چرا نه؟
جای روضه کف تایملاین نیست، تو مجلسیه که هرکس با اختیار خودش میره اونجا و روح و قلبش آمادگی داره. حق الناس گردن تک تک کسایی هست که روضه رو هرجایی میکنن و قصی القلب میکنن ملت رو.",unk
"Aug 30, 2020 @ 16:49:58.151","ازت ممنونم بابت نوشتن این",unk
"Aug 30, 2020 @ 16:49:57.913","میشه از این حرفا نزنی😤😤
نارنجکا قبلی هنو هستن ها",unk
"Aug 30, 2020 @ 16:49:57.848","مدافع وطن
با درود
کاملا درست میفرمایید
فقط خاندان پهلوی راه نجات این ملت از این محنت است
#اعدام_نکنید 
#KingdomWithPahlavi",unk
"Aug 30, 2020 @ 16:49:57.779","اگر مساله مشابهی برای شما اتفاق افتاده است یا میخواهید اطلاعات لازم را پیش از اقدامات خود داشته باشید و نیاز به پشتیبانی حقوقی رایگان از سوی تیم متخصص دارید، از طریق لینک زیر روی ما حساب باز کنید.",unk
"Aug 30, 2020 @ 16:49:57.717","در این شرایط یا اشتباه بستری شدیم تو تیمارستان. یا کادر از تیمارستان فراری شدن",unk
"Aug 30, 2020 @ 16:49:57.391","این پدیده که نذری الکل میدن واقعا عجیبه، واقعا عجیبه!",unk
"Aug 30, 2020 @ 16:49:57.327","نخور؛ نوشابه رو فقط بعد از برگر اجازه بده به خودت؛ بگو حالا که این سم رو خوردم تا تهش می‌رم و تا ماه دیگه نزدیک روغن و قند نمی‌شم :/
نظر من به عنوان یکی از هواداران‌ات ://",unk
"Aug 30, 2020 @ 16:49:57.056","از طرف ما نگران نباش. رواله",unk
"Aug 30, 2020 @ 16:49:56.919","#فوري #ایران چند ماه پیش محموله‌های بنزین به ونزوئلا تحویل داد؛ تصویری از کارگران #ونزوئلایی در مراسم استقبال از نفتکش ایرانی.👇👇",unk
"Aug 18, 2020 @ 16:08:42.644","بازم قرعه کشی برقراره یا بریزیم دور قوطی محصولات رو؟؟؟",unk
"Aug 18, 2020 @ 16:08:42.577","به به چه صبحانه ای",unk
"Aug 18, 2020 @ 16:08:42.510","کلپچ😂",unk
"Aug 18, 2020 @ 16:08:42.444","منکه آگه به خاطر خانواده نخوام غذا درست کنم هر سه وعده غذایمو صبحانه میخورم اونم با پنیر خوشمزه میهن👌👌👌👌😋😋😋",unk
