source,content,sentiment
instagram,گشنم شد عه,neu
instagram,کسی هس جواب بده؟؟؟؟امروز یه شیر میهن خریدم برای صبحانه گذاشتم گرم بشه شیر کلا قیافش عوض شد اب و روغن شد این چه وضعشه ،اگ من اون شیر گرم نمیکردم میخوردم مصموم میشدم کی میخواس جواب بده؟؟!از ثابقتون میگید به چ درد میخوره متاسفم واستون دیگ به میهن هم نمیشه اعتماد کرد👎👎👎👎,neg
instagram,برای عدم خوانا بودن کد قرعه کشی روی دوغی که خریداری کردم باید با چه شماره ای تماس بگیرم؟شماره های پشتیبانی که گذاشتید خاموشن و پاسخگو نیستن,neu
instagram,بستنی هایی که جدیدخریدیم چی میشه,neu
instagram,سلام هم میهن عزیز انواع ماست پنير دوغ و شیر بستنی سالار و آبمیوه فروت‌لند,neu
instagram,سلام هم میهن عزیز لطفا دایرکت برامون عکس ارسال کنید,neu
instagram,سلام هم میهن عزیز بله تمام کد ها تا اتمام مسابقات اعتبار دارد لطفا نگهدارید,neu
instagram,سلام هم میهن عزیز لطفا برای پیگیری به دایرکت مراجعه کنید,neu
instagram,سلام نتایج قرعه کشی چه سایتی یا کجا اعلام میشه؟آیا با برندگان تماس گرفته میشه؟,neu
instagram,با پنیر لیفوان تبریز,neu
instagram,🌹🌹,pos
instagram,به میهن اعتماد کن ،اون کسی که شیر رو نگهداری کرده باید شک کرد,neu
instagram,👌👌👌👍👍👍,pos
instagram,پنیر سنتی میهن,neu
instagram,خامه میهن,neu
instagram,👏👏👏👏,neu
instagram,پنیر سنتی میهن,neu
instagram,درود بر شما محصولاتتون بی نظیره  خصوصا طعم عالی بستنی ها  و البته خامه و شیر و انواع ماست و ...... 🙏🏻🌹😁😁,pos
instagram,پنیر اسپونی میهن,neu
instagram,کلپچ 😍,neu
instagram,سلام از پیچ آرایشی کمند دیدن فرمایید,neu
instagram,چشم باعث افتخاره,pos
instagram,عزیزان چرا بستنی چوبی وانیلی میراس در بازارشیراز نایاب ویا بسیار کمیاب است ‌.این بستنی با قیمت هزارتومان بسیار مناسب وبرای خانوادهای کارگران قشر کم درامد بسیار مناسب است اما بسبار نایاب است چرا؟؟؟,neu
instagram,بستنی چوبی وانیلی میراکس,neu
instagram,ببخشید وقتی که کد محصولات میهن رو میفرستیم فقط جمعه ی همون هفته که خریداری شده احتمال این هست که قرعه به ناممون در بیاد و دیگه بعد از اون هفته امکان نداره یا هر هفته ای ممکنه کد اون محصولات حتی تو هفته های بعدی هم برنده بشه؟,neu
instagram,فالو کن,neu
twitter,مثلا خاتمی که می‌رفت سفر خارجی و همچین درخواستی میکرد و اجابت هم میشد عافیت‌طلبی بود برای فرانسه و ایتالیا؟ مساله منافع آدم‌هاست، چرا باید از منافع شخصی یا ملی‌شون بگذرن؟,neu
twitter,بی‌ تو غریبه گشتم,neg
twitter,نه، اگه تیمبر و پلاستر هست باید محل اِستاد ها رو پیدا کنید و به اونها پیچ کنید,neu
twitter,"تو دارو رو جور کن
درد وجدانش با من 😂😂😂",pos
twitter,بانک مرکزی اگر بتواند قیمت دلار را با ارزش ذاتی کنترل کند ولی امکان کنترل قیمت بازاری ارز نخواهد داشت . قیمت بازاری ارز در صورت سقوط بورس می تواند چند برابر ارزش ذاتی بشود.‌تحریک بیش از حد بورس خطرناک است.  #اقتصاد #بورس_تهران #ارز,neu
twitter,بايد ياد بگيرم خودم موهامو كوتاه كنم؛ ديگه نميصرفه هم برينن تو موهات هم پول خونِتو بگيرن.,neg
twitter,اگرم قرار نیست مثل آدمای بالغ رفتار کنین، سعی کنین آدمای بالغ رو از خودتون نرنجونین!,neg
twitter,نمیدونم والا! شاید بخاطر همینه که دیگه نه کسی رو فیو میکنن نه منشن‌ها رو جواب میدن,neu
twitter,نشد یه بار من این توییتا رو ببینمو نسخ نشم -_-,neu
twitter,دیشب یکی تو ناشناس گفت خیلی هم قشنگ نیستی. الان تو آینه دیدم کم هم قشنگ نیستم.,neu
twitter,"اگر ما بفهميم كه با #هر_کلمه اى كه مى‌گوييم، در دلها انفجارى ايجاد مى‌كنيم؛
اگر بفهميم كه با #هر_گامى كه بر مى‌داريم، انفجارى ايجاد مى‌كنيم، 
اين طور دست و پايمان را رها نمى‌كنيم و نمی‌توانيم اين طور رها و ول باشيم.

#اخبات
#علی_صفائی",neu
twitter,کار از پاپیون گذشته باو,neu
twitter,:)))) قمر در عقرب تو که نیست.,neu
twitter,این چرا ابروهاش این ریختی هست ؟ از قرار سگ ریده . ابرو هاش آدم رو بد جوری تحریک می کنه ! حالا اصلا این یارو کی هست ؟,neu
twitter,داییم k750 داشت عاشق اون گوشق بودم ولی نشد بگیرم جاش s500 کشویی گرفتن برام و خیلی ناراحت شدم یکی از حسرت های زندگیمه واقعا خوشگل و خودست ترین گوشیه که دیدم,neu
twitter,نکنید این کار رو استاد با خلق خدا. ما بیکاران رو به حال خودمون رها نکنید. ما به ارشاد شما کارآفرینان سریالی موفق و کارفرمای خارجی دار خیلی نیاز داریم. تمنا میکنم دست ما خارجی ندیده ها رو  بگیرید 🙏,neu
twitter,این ک لباساتونو بشورید باعث خراب شدنش نمیشه باعث مسموم نشدن بقیه میشه,neu
twitter,همکلاسیات خیلی پیشرفتن :)) همکلاسی های من هنوز تو مرحله نوع رابطه من با فلانی چطوریه هستن :))) این چیزا قفله براشون,neu
twitter,یعنی با این نمیشه رفت سونا؟ شما زنا میرید سونا یا شرت هم رو نگاه کنید... بپوش برو,neu
twitter,"یه روزی میای میگی امام حسینتون قمار بازه، یه روز میگی ترامپ قمار بازه
خودتون هم نمیدونید چند چندید.
اما قمار باز یا كاسب. سال قبل خوب قاسمو كتلت كرد. بدیهیات",neu
twitter,کیر تو هرگونه اداره‌جاتِ دولتی و کارمنداشون,neg
twitter,راست میگی بیا ایران با هلیکوپتر بیا کیرمنوبخور نترس بیا,neg
twitter,"گفتم: «هوای میکده غم میبرد ز دل»

گفتا: «خوش آن کسان که دلی شادمان کنند»
حافظ

#کمک_مومنانه
#کنارتم_هموطن",neu
twitter,"به یاد روز نهم #محرم روز #تاسوعا 
به یاد #عطش و #ابالفضل_العباس 

هنگام #تشنگی نام تو بردن چه لذتی دارد",neu
twitter,😔لو که رفتم مگه ندیدی هواییارو,neu
twitter,با تو چه کار داره 😂😂😂,neu
twitter,آفرین به شما,pos
twitter,تروریست تویی اعظم هم خودت میدونی کیه,neg
twitter,انصافا خدا چه مهمونی ای گرفتی که ناهار باید تخم مرغ درست کنم بخورم,neu
twitter,"من یک جز کامل رو میخونم
فردا تو شرکت به ترجمه فارسیش گوش میدم",neu
twitter,میتونه با منم باشه😂,neu
twitter,خب مشکلی نیست، شما ماسک نزنین (شاید زودتر نسلتون منقرض بشه)، حجاب رو هم آزاد بذارین، مشکلتون حل میشه اون وقت؟,neu
twitter,آقای جمهوری اسلامی میدونی به تعداد دورهای اون دایره آبی فحش ناموس می‌خورید؟ خو چیه این فیلترینگ تخمی و اینترنت کیریتون.,neg
twitter,بی ارزش تر از اونی که وقت واسه دستگیریت بزارن #پخمه_مجازی,neg
twitter,باید با اب طلا یا.. نوشت,neu
twitter,معمولا یه چیز ثابت نیست. بین پنیر دودی، پنیر کپک زده، پنیر سفید، کره‌ی بادوم زمینی، پنیر خامه‌ای، پنیر خامه‌ای با سبزیجات، پنیر بُز و پنیر ورقه‌ای گودا دوتاش رو انتخاب میکنم و با قهوه میخورم,neu
